arquivo,dimensoes,total_correspondencias,is_compliant,is_defect,defeitos,partes_detectadas,taxa_deteccao,matches_chapéu,matches_face,matches_cabeca,matches_braco,matches_corpo,matches_maos,matches_pernas
pjsgaydvm.jpg,352x288,18,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_HAND, NO_LEG",1,14.285714285714285,7,0,0,6,0,0,5
pjvasmdyg.jpg,352x288,54,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,7,0,0,21,3,18,5
pmagdsvjy.jpg,352x288,101,False,True,NO_HEAD,6,85.71428571428571,41,1,0,19,21,9,10
pmdgasjvy.jpg,352x288,57,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,10,0,0,26,5,13,3
pmgsvayjd.jpg,352x288,23,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_HAND, NO_LEG",1,14.285714285714285,3,0,0,19,1,0,0
pmvgdajsy.jpg,352x288,93,False,True,"NO_FACE, NO_HEAD, NO_BODY",4,57.14285714285714,39,0,0,18,6,7,23
pmvgdjsya.jpg,352x288,14,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,4,0,0,5,0,5,0
psjvdygam.jpg,352x288,7,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_ARM, NO_BODY, NO_HAND, NO_LEG",0,0.0,7,0,0,0,0,0,0
psmaygjvd.jpg,352x288,92,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_HAND",3,42.857142857142854,1,0,0,19,18,2,52
pvagsjdmy.jpg,352x288,70,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,4,0,0,24,18,12,12
pvjsgadmy.jpg,352x288,54,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,12,0,0,23,5,6,8
pyajsgdvm.jpg,352x288,50,False,True,"NO_HAND, NO_LEG",5,71.42857142857143,11,1,1,24,11,2,0
pyjvsadmg.jpg,352x288,35,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,7,0,0,17,1,7,3
sadgjpyvm.jpg,352x288,51,False,True,"NO_FACE, NO_HEAD, NO_BODY, NO_LEG",3,42.857142857142854,10,0,0,15,5,17,4
saymjdvgp.jpg,352x288,64,False,True,"NO_HAT, NO_FACE, NO_HEAD",4,57.14285714285714,5,0,0,15,11,8,25
sdpgavymj.jpg,352x288,83,False,True,"NO_FACE, NO_HEAD, NO_HAND",4,57.14285714285714,11,0,0,5,27,2,38
sdpygmjva.jpg,352x288,82,False,True,"NO_FACE, NO_HEAD, NO_HAND",4,57.14285714285714,14,0,0,6,28,0,34
sgmypajdv.jpg,352x288,58,False,True,"NO_FACE, NO_HEAD, NO_BODY",4,57.14285714285714,17,0,0,10,0,8,23
sgpdmajvy.jpg,352x288,57,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,4,0,0,32,7,9,5
sgvydajmp.jpg,352x288,121,True,False,NENHUM,7,100.0,29,2,4,14,25,7,40
sjdmavygp.jpg,352x288,44,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,2,0,0,17,7,14,4
smajygdvp.jpg,352x288,54,False,True,"NO_HAT, NO_FACE, NO_HEAD, NO_BODY, NO_LEG",2,28.57142857142857,7,0,0,30,4,6,7
